Terrain,Scanner,segment_id,GT_ID,GT_TH,before_TH,after_TH,before_TH_error,after_TH_error,before_TH_abs_error,after_TH_abs_error,TH_delta_abs_error,GT_DBH,before_DBH,after_DBH,before_DBH_error,after_DBH_error,before_DBH_abs_error,after_DBH_abs_error,DBH_delta_abs_error,attribute_value_source,source_clean_file
Challenging,Single sensor,17,16,27.0,24.9498,24.723000000000003,-2.0502000000000002,-2.2769999999999975,2.0502000000000002,2.2769999999999975,0.22679999999999723,0.28,0.2494,0.1658,-0.030600000000000016,-0.11420000000000002,0.030600000000000016,0.11420000000000002,0.08360000000000001,cleaned,
Challenging,Single sensor,18,18,20.6,20.0895,20.0895,-0.5105000000000004,-0.5105000000000004,0.5105000000000004,0.5105000000000004,0.0,0.221,0.262,0.2606,0.04100000000000001,0.039599999999999996,0.04100000000000001,0.039599999999999996,-0.0014000000000000123,cleaned,
Challenging,Single sensor,19,2,26.4,26.4362,26.6636,0.0362000000000009,0.2636000000000003,0.0362000000000009,0.2636000000000003,0.22739999999999938,0.31,0.3442,0.2427,0.03420000000000001,-0.0673,0.03420000000000001,0.0673,0.03309999999999999,cleaned,
Challenging,Single sensor,20,3,27.0,25.0209,24.9311,-1.979099999999999,-2.0688999999999993,1.979099999999999,2.0688999999999993,0.08980000000000032,0.262,0.2358,0.24100000000000002,-0.0262,-0.02099999999999999,0.0262,0.02099999999999999,-0.00520000000000001,cleaned,
Challenging,Single sensor,24,19,28.5,25.8405,25.8867,-2.6595000000000013,-2.613299999999999,2.6595000000000013,2.613299999999999,-0.04620000000000246,0.32,0.3064,0.3066,-0.013600000000000001,-0.013400000000000023,0.013600000000000001,0.013400000000000023,-0.00019999999999997797,cleaned,
Challenging,Single sensor,25,37,10.3,10.1418,10.4416,-0.15820000000000078,0.14159999999999862,0.15820000000000078,0.14159999999999862,-0.01660000000000217,0.079,0.1535,0.0978,0.0745,0.018799999999999997,0.0745,0.018799999999999997,-0.0557,cleaned,
Challenging,Single sensor,26,1,26.6,25.5015,25.5015,-1.0985000000000014,-1.0985000000000014,1.0985000000000014,1.0985000000000014,0.0,0.379,0.3062,0.3062,-0.07279999999999998,-0.07279999999999998,0.07279999999999998,0.07279999999999998,0.0,original,
Challenging,Single sensor,27,28,28.9,26.1949,26.1939,-2.705099999999998,-2.7060999999999993,2.705099999999998,2.7060999999999993,0.0010000000000012221,0.436,0.441,0.4278,0.0050000000000000044,-0.008199999999999985,0.0050000000000000044,0.008199999999999985,0.0031999999999999806,cleaned,
Challenging,Single sensor,28,25,21.0,25.3713,20.8088,4.3713000000000015,-0.19119999999999848,4.3713000000000015,0.19119999999999848,-4.180100000000003,0.259,0.3384,0.3182,0.07939999999999997,0.059199999999999975,0.07939999999999997,0.059199999999999975,-0.020199999999999996,cleaned,
Challenging,Single sensor,29,20,23.3,24.2293,24.5491,0.9292999999999978,1.2490999999999985,0.9292999999999978,1.2490999999999985,0.31980000000000075,0.348,0.309,0.2884,-0.03899999999999998,-0.059599999999999986,0.03899999999999998,0.059599999999999986,0.020600000000000007,cleaned,
Challenging,Single sensor,30,29,26.6,27.1846,26.9813,0.5845999999999982,0.38129999999999953,0.5845999999999982,0.38129999999999953,-0.2032999999999987,0.22,0.2514,0.2146,0.03140000000000001,-0.005399999999999988,0.03140000000000001,0.005399999999999988,-0.026000000000000023,cleaned,
Challenging,Single sensor,31,30,26.7,22.7498,27.3729,-3.950199999999999,0.672900000000002,3.950199999999999,0.672900000000002,-3.2772999999999968,0.366,0.3836,0.406,0.017600000000000005,0.040000000000000036,0.017600000000000005,0.040000000000000036,0.02240000000000003,cleaned,
Challenging,Single sensor,32,26,20.5,19.9323,19.9616,-0.5676999999999985,-0.5383999999999993,0.5676999999999985,0.5383999999999993,-0.029299999999999216,0.23399999999999999,0.2924,0.297,0.05840000000000001,0.063,0.05840000000000001,0.063,0.004599999999999993,cleaned,
Challenging,Single sensor,41,5,9.4,11.4801,11.4801,2.0801,2.0801,2.0801,2.0801,0.0,0.08900000000000001,0.15,0.15,0.060999999999999985,0.060999999999999985,0.060999999999999985,0.060999999999999985,0.0,original,
